Amendment	n.宪法修正案
compensation	n.补偿，赔偿
compensatory	adj.补偿性的
compete	vi.竞争，比得上
competence	n.能力，胜任
competent	adj.有能力的，能胜任的
competing	adj.有竞争性的，不相上下的
competition	n.竞争，竞赛
competitiveness	n.竞争能力
compile	vt.汇集，编辑
complacence	n.自满，自以为是
complain	v.抱怨；悲叹
complaint	n.抱怨，怨言
complement	vt.补充，使完善 n.补足物，补充物
complementary	adj.补充的，补足的
complex	adj.复杂的，费解的；结构复杂的 n.综合体
complexity	n.复杂（性）
complicated	adj.费解的，棘手的；结构复杂的
complication	n.并发症；复杂，复杂性
complicity	n.共谋；同谋，共犯
compliment	n.恭维，称赞
complimentary	adj.赞美的
component	n.成分，组成部分
compose	vt.作曲，写作；组成
composition	n.构成，组成 n.写作，作文；作曲
compound	n.化合物
comprehend	vt.领悟，理解
comprehensible	adj.可理解的，易于了解的
comprehension	n.理解，包含
comprehensive	adj.全面的，综合的
compress	vt.压缩，浓缩
compressed	adj.被压缩的，紧凑的
compression	n.浓缩，压缩
comprise	vt.包含；由…组成
compromise	n./v.妥协，折衷
compulsory	adj.必须做的，被强制的
computation	n.计算，估计
compute	vt.计算
concave	adj.凹的
conceal	vt.隐藏，隐瞒
concede	v.承认
conceive	vt.构思；设想
concentric	adj.同心的
concept	n.概念，观念
conception	n.观念，概念
conceptual	adj.概念上的
concert	n.音乐会 n.一致；共同
concerted	adj.商议好的，协定的
concerto	n.协奏曲
concise	adj.简洁的，简明的
conciseness	n.简洁，简短
conclude	v.推断；作出结论 vi.结束
conclusive	adj.最后的，决定性的
concomitant	adj.伴随的         n. 伴随物
concrete	n.水泥 adj.具体的，实体的
concurrent	adj.并发的；协作的，一致的
condemn	vt.谴责
condemnation	n.谴责
condensation	n.压缩，浓缩
condense	vt.使浓缩；精简
condenser	n.冷凝器；电容器
condiment	n.调味品
condition	n.条件；状况；健康状况
conditioning	n.（心理）条件作用，训练
condor	n.秃鹰
conduct	vt.做（试验、研究等）；引导，带领 vt.传导 n.举止，行为
conductivity	n.导电率；传导率
conductor	n.导体
cone	n.圆锥，松果
confederacy	n.联盟
confederate	n.同盟者，盟友
confer	v.颁给，赋予 v.协商
conference	n.会议；协商会，讨论会
confess	vt.坦白承认
confession	n.承认，招供
confide	vt.吐露（心事），倾诉
confidence	n.信心
confident	adj.有信心的，自信的
configuration	n.轮廓，构型
confine	vt.限制
confinement	n.限制，禁闭
confining	adj.狭窄的
confirm	vt.证实，使…更坚定
confirmation	n.确认，证实
conflict	n.争论，冲突，斗争
conflicting	adj.相冲突的，相矛盾的
confluence	n.汇合；聚集
conform	vi.遵守，顺从；符合
conformity	n.一致，符合
confront	vt.面对，正视
confuse	vt.搞乱，使糊涂
confuse…with…	把…认为
confusion	n.混乱，混淆
congenial	adj.趣味相投的，适意的
congenital	adj.先天的，天生的
congested	adj.堵塞的；拥挤的
congestion	n.拥挤，拥塞
conglomerate	n.混合
congratulation	n.祝贺，道喜
congregate	v.聚集
congress	n.国会，议会
congressional	adj.会议的，大会的；国会的
congressman	n.国会议员
conifer	n.松类，针叶树
conjectural	adj.推测的
conjecture	n./v.推测，猜测
connect	v.连接；联系；联合
connection	n.连接
connoisseur	n.鉴赏家，行家
conscience	n.良心，良知
conscientious	adj.尽责的，一丝不苟的
conscious	adj.有意识的，神志清醒的 adj.意识到的
consciously	adv.有意识地，自觉地
consciousness	n.意识，知觉
consecutive	adj.连续的
consequence	n.结果
consequent	adj.作为结果的，随之发生的
consequently	adv.从而，因此
conservation	n.保存，保持
conservationist	n.（天然资源的）保护管理论者
conservatism	n.保守主义，守旧性
conservative	adj.保守的，谨慎的；守旧的
conserve	vt.保存,保藏   n.可长期保存的食物
considerable	adj.相当大（多）的；值得考虑的；相当可观的
considerably	adv.相当地
considerate	adj.考虑周到的，体贴的
consideration	n.体谅，考虑
consistency	n.浓度，密度
consistent	adj.一致的；稳定的，变化少的
consistently	adv.一贯地
consonant	adj.协调一致的
consort	vi.陪伴，结交
consortium	n.协会，联盟，财团
conspicuous	adj.显著的；显眼的，引人注目的
conspiracy	n.阴谋，共谋
constant	adj.不变的，持续的；一再重复的
constantly	adv.不断地
constellation	n.星座 n.灿烂的一群
consternation	n.惊愕，惊慌失措
constituent	n.成分，要素 n.选民
constitute	vt.建立（政府），组成，构成
constitution	n.组织；宪法
constitutional	adj.宪法的；章程的
constrain	vt.抑制，拘束
constraint	n.约束，强制
constrict	vt.约束；收缩
constricted	adj.抑制的，约束的
construct	vt.建造；创立
construction	n.建筑，建造
consult	vt.咨询，请教
consultant	n.顾问，咨询者
consume	vt.消费，消耗；大吃大喝
consumer	n.消费者
consumption	n.消耗，消费
contact	vt.使接触，与…联系
contagious	adj.传染性的；有感染力的
contain	vt.包含，容纳
container	n.容器；集装箱
contaminate	vt.弄脏，污染；感染
contamination	n.玷污，污染
contemplate	v.沉思，对…作周密思考
contemporary	adj.当代的，同时代的
contender	n.竞争者，斗争者
content	n.内容；容量 adj.满足的
contented	adj.满足的，心安的
contention	n.争论，争辩
context	n.上下文，语境
contiguous	adj.接近的，接壤的
continent	n.大陆
continental	adj.大陆的，大陆性的
continuation	n.继续，延长
continuity	n.(时间或空间的)连续性，连贯性
continuum	n.连续统一体
contour	n.contours 轮廓 n.周线，等高线
contract	v.收缩 v.定契约，立合同 n.契约，合同
contraction	n.缩短，收缩
contractor	n.定约人，承包人
contradict	vt.同…矛盾，同…抵触
contradictory	adj.反对的，矛盾的
contrary	adj.相反的；对抗的
contrast	n.（对比，对照的）差异 vt.对比，对照
controversial	adj.引起或可能引起争论的
controversy	n.争论，辩论
convenience	n.便利，方便
convenient	adj.方便的；近便的，容易到达的
convention	n.会议；传统
conventional	adj.传统的，习俗的
conventionally	adv.按照惯例地，照常套地
converge	vi.聚合，集中于一点，会聚
conversant	adj.亲切的，熟悉的
conversation	n.会话，非正式会谈
conversational	adj.对话的，会话的
converse	v.谈话，交谈
conversion	n.变换，转化
convert	vt.转换；转变信仰
converter	n.炼钢转炉
convex	adj.凸出的
convict	vt.证明…有罪，宣告…有罪
conviction	n.确信，深信，坚信
convinced	adj.确信的，深信的
convincing	adj.令人信服的
convivial	adj.欢乐的，快乐的
cooperate	vi.合作
cooperation	n.合作，协作
cooperative	adj.合作的，协力的
coordinate	vt.使…协调，相配合
coordinated	adj.协调的，配合的
coordination	n.调和
copper	n.铜
core	n.中心，核心；地核
corn	n.玉米，谷类
cornet	n.短号
corps	n.军团，兵团
correlate	vt.使相互关联；使相互影响
correlated	adj.有相互关系的
correspond	vi.符合，协调；通信
correspondence	n.通信，信件 n.相应，对应
corresponding	adj.相应的
corrosion	n.腐蚀，侵蚀
corrosive	adj.腐蚀的，腐蚀性的
corruption	n.腐败，贪污，堕落
cosmic	adj.宇宙的
cosmopolitan	adj.世界性的，全球的
costume	n.服装 vt.穿上服装；穿衣
cottonwood	n.[植]三叶杨,棉白杨
counsel	n./vt.劝告
counseling	n.咨询服务
counselor	n.顾问，法律顾问
counteract	vt.消除，抵消
counterbalance	v.使平衡
counterclockwise	adj./adv.逆时针的（地）
counterfeit	vt.伪造，仿造 adj.伪造的，假冒的
counterpart	n.相似的人或物，配对物
countless	adj.无数的
couple	n.（一）对，（一）双；夫妇 vi.连合，结合
courier	n.送急件的人，信使
court	n.法庭；球场 vt.向…献殷勤，追求；设法获得（他人的支持等）
courteously	adv.有礼貌地，亲切地
courthouse	n.法院；郡政府所在地
courtly	adj.尊严而有礼貌的
courtship	n.求爱；求爱时期
cover	vt.覆盖；包括；报道
coverage	n.覆盖
cowboy	n.牛仔
cowhand	n.牛仔，牧牛工
cozy	adj.舒适的，惬意的
crab	n.蟹
crack	n.裂缝，裂纹；缺点 v.（使）爆裂；裂开
craft	n.工艺，手艺
craftspeople	n.手工艺人
cram	v.填塞；匆忙准备
cramped	adj.狭窄的
crash	n./vt.碰撞，坠毁，撞碎 n.破产，垮台
crater	n.火山口；弹坑
crawl	vi.爬，爬行
crayon	n.蜡笔、彩笔及其绘画
craze	n.狂热
crazy	adj.疯狂的，狂热的
credence	n.信任，相信
credentials	n.凭据，文凭
credit	n.学分 n.信誉，信用；荣誉，声望 n.贷方，银行存款 vt.认定… ；把…归给，归于
creditor	n.债权人
creek	n.小溪，小河
creep	vi.慢慢行进；爬行
crevice	n.缺口，裂缝
crew	n.全体工作人员；同事们
crimson	n./adj.深红色（的）
cripple	vt.削弱；使残废
crippling	adj.令人震惊的
crisscross	vi.交叉往来
critical	adj.评论的，批评的 adj.危急的；非常重要的
critique	n.（文艺）批评，评论
crooked	adj.不诚实的；欺诈的 adj.弯曲的；蜿蜒的
crossbones	n.十字骨头
crossbreeding	n.（生物）杂种
crosscut	adj.横切的
crossing	n.横越，交叉口
crow	n.乌鸦
crude	adj.粗糙的，粗鲁的；原始的
crumble	v.粉碎；崩溃
crumple	vt.把…弄皱；起皱
crush	vt.压垮；粉碎；使变形
crust	n.硬外皮；地壳
crustacean	n.甲壳动物
crystal	n.水晶，晶体 adj.清澈的；结晶状的
crystalline	adj.水晶的，透明的
crystallization	n.结晶化
crystallize	v.明确；使结晶化
crystallized	adj.变成晶体的
cube	n.立方体，立方
cubic	adj.立方体的
cubism	n.立体主义
cucumber	n.黄瓜
cue	n.提示，暗示
culinary	adj.厨房的，烹调的
culminate	v.达到高潮/顶点
cultivate	vt.耕种；培养
cultivation	n.耕种；培养
culture	n.文明，文化 vt.培养（微生物细胞组织等）
cumbersome	adj.笨重的，难处理的
cupboard	n.食橱，碗碟柜
curator	n.（博物馆等）馆长
curiosity	n.好奇心
curious	adj.（令人）好奇的
currency	n.通货，货币
current	n.（液体、气体）流，趋势 adj.现今的
currently	adv.现在，当前
curriculum	n.学校的全部课程
cushion	n.垫子，软垫 v.缓和…的冲力，保护
custodian	n.看守人，管理人
custom	n.习惯，传统，惯例
customarily	adv.通常
customer	n.消费者
customs	n.进口税；海关
cuticle	n.表皮
cyclone	n.旋风，龙卷风
cylinder	n.圆筒，圆柱体
dagger	n.短剑，匕首
daisy	n.雏菊
damp	adj.潮湿的，有湿气的
dampen	vt.使潮湿
dangerous	adj.危险的
daring	adj.大胆的，勇敢的
dart	v.飞奔；投掷 n.标枪，镖，箭
date	vt.注明…的日期
dated	adj.陈旧的，过时的
daunting	adj.使人畏缩的
dawn	n.黎明；开端，开始
dawning	n.拂晓，黎明
dazzling	adj.眼花缭乱的；耀眼的
deadly	adj.致命的；极度的
deal	n.交易；份量
debatable	adj.未决定的，有争执的
debate	n.争论，辩论
debris	n.废墟，残骸；碎片
debt	n.债务
debtor	n.债务人
decadent	adj.颓废的
decay	vi./n.腐烂 vi./n.衰落
deceive	vt.欺骗，行骗
decent	adj.适当的，可接受的 adj.得体的，体面地
deception	n.欺骗，诡计
deceptive	adj.欺骗的，导致误解的
deciduous	adj.每年落叶的
decimal	adj.十进制的，小数的 n.小数
deck	n.一副（纸牌）
declaration	n.宣布，宣言
declare	vt.宣布，声明
decline	vi./n.衰退；下降，减退 vt.婉言谢绝
decompose	v.分解，（使）腐烂
decomposition	n.腐烂，分解
decorate	vt.装饰，装潢，修饰
decoration	n.装饰，装饰品
decorative	adj.装饰的，可作装饰的
decrease	v.减少
defecate	vi.排粪；通大便
defect	n.缺点，瑕疵
defective	adj.有缺陷的
defend	vt.防护；辩护
defense	n.防卫；防卫物
defensive	adj.自卫的
defer	vi.遵从，听从 vt.延期
deference	n.尊重，顺从；敬意
deferential	adj.恭敬的, 恭顺的
deficiency	n.缺乏；不足
deficient	adj.缺乏的，不足的
deficit	n.赤字，不足额
definite	adj.清楚的；明确的；确切的
definitely	adv.明确地，肯定地
definition	n.定义
definitive	adj.决定性的，最后的
deform	vt.使变形
deformation	n.变形
defrost	vt.解冻，将…除霜
deft	adj.灵巧的，熟练的
degradation	n.退化；降级，降格
degrade	v.使降级，贬低
dehydrate	vt.使脱水
dehydrated	adj.干燥的，脱水的
dehydration	n.脱水，干燥
deign	vi.屈尊
deity	n.神，被奉若神明的人或物
delay	vt./n.推迟，耽搁
delectable	adj.美味的
delegate	n.代表 vt.委派，授权
deliberate	adj.深思熟虑的；故意的
deliberately	adv.故意地
delicate	adj.脆的，易损的；娇弱的 adj.精致的，细腻的
delicious	adj.美味的，可口的
delirium	n.精神错乱，发狂
delta	n.三角洲
demagnetize	vt.消磁，使退磁
demobilize	vt.复员
democracy	n.民主政治，民主主义
demolish	vt.破坏，摧毁
demolition	n.破坏，拆除
demonstrate	vt.演示；论证
demonstration	n.实证；示范
denomination	n.宗派，教派 n.（货币）面额
denote	vt.指示，表示
denounce	vt.公然抨击，谴责
dense	adj.密集的，浓厚的
density	n.密度
dent	n.缺口，凹痕 v.使凹下，凹进
dental	adj.牙齿的
dentist	n.牙科医生
dentistry	n.牙科
deny	vt.否认，否定 vt.剥夺，拒绝…的要求
deodorizer	n.除臭剂
depart	vi.离开，出发
departure	n.离开，出发
dependable	adj.可靠的，可信赖的
dependence	n.依赖，信赖
dependent	adj.依赖的；从属的，由…而定的 n.依赖他人者
depict	vt.描绘；描写，描述
deplete	vt.耗尽，使衰竭
deposit	vt.堆积，沉淀 vt.放置，寄存 vt.产卵 n.堆积物，沉淀；存款，押金
depositor	n.存款人
depot	n.货站，仓库
depreciation	n.贬值
depredation	n.掠夺，破坏
depress	vt.压下，压低
depressed	adj.沮丧的
depression	n.不景气，萧条期 n.凹陷处，坑 n.沮丧，消沉
deprivation	n.缺乏；剥夺
deprive	vt.剥夺，使失去
derivative	n.派生的事物；派生词
derive	vt.得到，获取；源于
desalination	n.脱盐作用
descend	v.传下，遗传 v.下降
descendant	n.子孙，后裔
descent	n.降下，降落；世系，血统
desert	n.沙漠 vt.遗弃
deserted	adj.荒芜的，荒废的
deserve	vt.应得
designate	vt.指定，任命
desirable	adj.令人向往的；令人满意的
desire	n.欲望，要求 vt.想要
desolate	adj.荒凉的，无人烟的
desperate	adj.绝望的，不顾一切的，拼死的
desperately	adv.迫切地；危急地
despoil	v.夺取，掠夺
despoiler	n.掠夺者
dessert	n.餐后甜点
destination	n.目的地
destine	vt.命运注定，预定
destruction	n.破坏；毁灭
destructive	adj.破坏的；毁灭性的
detect	vt.察觉，发觉；探测，侦查
detectable	adj.可发觉的；可查明的
detective	n.侦探 adj.侦探的
deter	vt.阻碍，制止，使踌躇
detergent	n.清洁剂
deteriorate	v.使恶化；质量下降
determinant	n.决定因素
deterrent	n.制止物，威慑力量
detest	vt.深恶，憎恶
detriment	n.伤害，危害
detrimental	adj.有害的
devastate	vt.毁坏
devastating	adj.破坏性的
devastation	n.毁坏
device	n.器械，装置
devise	vt.设计；发明
devoid	adj.全无的，缺乏的
devote	vt.投入于，献身
devotion	n.热爱，忠诚
devour	vt.贪婪地吃，吞食
diagnose	vt.诊断
diagonal	n./adj.对角线（的）
diagonally	adv.成对角线地，斜对地
diagram	n.图表
dialect	n.方言，土话
dialogue	n.对话
diameter	n.直径
dictate	vt.规定；决定，确定
diction	n.措辞，用语
diet	n.饮食，食物 vi.节食，忌食
dietary	adj.饮食的
dieter	n.节食者，减肥者
dietetics	n.营养学
dietitian	n.营养学家
differentiate	v.区分，区别
diffuse	v.扩散；散播 adj.散开的，弥漫的
diffusion	n.扩散，传播
digest	vt.消化
digestion	n.消化
digestive	adj.消化的，助消化的
dignity	n.尊严，高贵
digression	n.离题，扯到枝节上
dilate	vt.使膨胀，使扩大
dilemma	n.困境，进退两难
diligent	adj.勤勉的，勤奋的
diligently	adv.勤勉地，尽职地，小心翼翼地
dilute	vt.稀释，淡化
dilution	n.稀释，淡化
dim	adj.暗淡的，模糊的
dime	n.一角硬币
dimension	n.尺寸；尺度
dimensional	adj.空间的
diminish	v.（使）减少，（使）变小
dimly	adv.朦胧地，模糊地
dinosaur	n.恐龙
dioxide	n.二氧化物
diplomacy	n.外交，交际手腕
diplomatic	adj.外交的；老练的
disadvantage	n.缺点，坏处，不利
disagreeable	adj.不令人喜欢的，令人厌恶的
disappointment	n.失望
disapproval	n.不赞成
disaster	n.灾难，不幸；彻底的失败
disastrous	adj.损失惨重的；悲伤的
discard	vt.丢弃
discern	vt.看出；察觉到
discernible	adj.可识别的=discernable
discerning	adj.有识别能力的；眼光敏锐的
discharge	vt.释放；排出 n.流出 n.放电
disciple	n.门徒，弟子
discipline	n.纪律，训练 n.学科 vt.训练；惩罚
disciplined	adj.遵守纪律的
discomfort	n.不适
disconnect	vt.分离，断开
discontent	n.不满
discontented	adj.不满意，不满足
discount	n.折扣 vt.不全信，对…持怀疑态度
discourage	v.使气馁；阻碍
discouraging	adj.令人气馁的
discourse	n.讲道，演讲
discreet	adj.小心的，谨慎的
discrete	adj.独立的；不连续的，离散的
disgrace	vt.玷污
disgust	n.厌恶，嫌恶
disgusted	adj.厌烦的；厌恶的
disillusion	v.使醒悟
disintegrate	v.（使）分解，（使）碎裂
disinterested	adj.无个人利害关系的;无私的,公平的
dismal	adj.暗的，凄凉的；忧郁的，沮丧的
dismay	vt.使惊慌；使沮丧 n.沮丧，惊慌
dismember	vt.肢解，分割
dismembered	adj.肢解的
dismiss	vt.解散；摒除（思想、感情等）
disorganize	vt.扰乱，使混乱
dispatch	vt.分派，派遣
dispense	vt.分配，分发
dispersal	n.疏散，散开
disperse	vt.分散，散开
displace	vt.移置，转移；取代，替代
displacement	n.移置，转移
display	vt.陈列；显示 n.陈列，展览；显示
disposal	n.垃圾倾倒；处置
disposed	adj.有…倾向的
disposition	n.性情；倾向
disproportionate	adj.不成比例的
dispute	n.争论，纠纷 v.争论，争执
disregard	n./v.不理会；漠视
disrepute	n.坏名声，不光彩
disrespect	n.失礼，无礼
disrupt	vt.使混乱，使中断
disseminate	vt.传播，宣传
dissenter	n.不同意者，反对者
dissenting	adj.不同意的
dissertation	n.论文
dissimilar	adj.不同的, 相异的
dissipate	vi.消失；消散
dissipated	adj.沉迷于酒色的, 浪荡的
dissolve	vt.使溶解
distance	n.距离；远处
distant	adj.远离的，遥远的
distasteful	adj.（令人）不愉快的，讨厌的
distend	vt./vi.（使）扩大，（使）扩张
distent	adj.膨胀的，扩张的
distill	vt.蒸馏，提取
distinct	adj.明确的，确实的；不同的
distinction	n.差别，特性 n.显赫，声望
distinctive	adj.有特色的，出众的
distinctively	adv.特殊地，区别地
distinctly	adv.清楚地，显然
distinguish	vt.区别，辨认
distinguished	adj.卓著的
distort	vt.弄歪（形状等）；歪曲
distortion	n.扭曲；歪曲
distract	vt.使…分心，分散注意力
distress	n.悲痛，不幸，穷困
distribute	vt.分配；分发，散布
distribution	n.分发，分配
district	n.区域，地区
disturb	vt.打扰，扰乱
disturbance	n.骚动，动乱
dive	vi.潜水；跳水
diver	n.潜水者，跳水运动员
divergence	n.分歧，岔开
divergent	adj.有分歧的，有差异的
diverse	adj.不同的，变化多的
diversification	n.多样化
diversified	adj.多样化的
diversify	vt.使多样化
diversion	n.消遣，娱乐 n.转移，转换
diversity	n.差异，多样
divert	vt.转移，（使）转向
divide	vt.划分，分开；分裂
division	n.分开，分割
divorce	vt.离婚 vt.使分离，使脱离
dizziness	n.头昏眼花，眩晕
dizzy	adj.眩晕的
dizzying	adj.令人昏乱的；灿烂的
doctrine	n.教义，教旨
document	vt.证明；文件记录
documentary	adj.文件的  n. 纪录片
documentation	n.文件
dogged	adj.顽强的，顽固的
dogma	n.教条，教义
doll	n.洋娃娃，玩偶
dolphin	n.海豚
domain	n.领域，范围
domestic	adj.家里的；家养的 adj.本国的，国内的
domesticate	vt.驯养，驯化
domesticated	adj.驯养的，家养的
dominant	adj.支配的，占优势的
dominate	vt.统治，支配，控制 vi.盛行
donate	vt.捐赠
donation	n.捐赠，捐款
donor	n.捐助者
dormant	adj.静止的，休眠的
dormitory	n.宿舍
dorsal	adj.背部的，背脊的
dot	vt.星罗棋布于 n.点，圆点
doubt	n./vt.怀疑
doubtful	adj.可疑的；疑心的
downtown	adv./adj.在市区（的），往市区（的）
draft	n.草图，草稿 vt.起草
drag	vt.拖动
dragonfly	n.蜻蜓
drain	v.（使）流走，（使）排光 n.排水；消耗
drainage	n.排水，排出物
drama	n.戏剧
dramatic	adj.戏剧性的；引人注目的
dramatically	adv.戏剧性地；引人注目地
dramatize	vt.改编成戏剧，编写剧本
drastic	adj.猛烈的
draw	vt.吸引
drawback	n.弊端，缺点
drawer	n.抽屉
drawing	n.图画，制图
dread	n.畏惧，恐怖
dreadful	adj.可怕的
dreadfully	adv.可怕地
dreary	adj.沉闷的，阴郁的
drift	n.冲洗，漂流物   v.  （使）漂流
driftwood	n.流木，浮木
drill	vt.钻孔，打眼 n./vi.训练，操练；反复练习
drip	n.水滴；  v. （使）滴下
dripstone	n.滴水石；滤石
drought	n.干旱
drowsy	adj.昏昏欲睡的
drudgery	n.苦工，苦差事
ductile	adj.易延展的；柔软的
due	adj.预定的；到期的
dues	n.应付款
dull	adj.钝的；感觉或理解迟钝的
dumb	adj.哑的
dumbbell-like	adj.哑铃状的
dump	vt.倾泻，倾倒
duplicate	vt.复写，复制 adj.两重的，两倍的；完全相同的
durable	adj.持久的；耐用的
duration	n.持续时间
dwarf	n.侏儒  vt.把…显得矮小
dwell	vi.居住，生活于
dweller	n.居住者，居民
dwelling	n.住处，寓所
dye	n.颜料，燃料 vt.染色
dynamic	adj.动力的；动态的
dynamics	n.动力学
eager	adj.渴望的；热心的
earthenware	n.土器，陶器
earthquake	n.地震
eccentric	adj./n.古怪的（人），异常的（人）
eccentricity	n.反常，怪癖
eclecticism	n.折衷主义
eclipse	n.日蚀，月蚀 vt.盖过，使失色；遮蔽
ecological	adj.生态的；生态学的
ecologist	n.生态学者
economical	adj.经济的，节俭的
economics	n.经济学
economize	vi.节约，节省
ecosystem	n.生态系统
edentate	n.贫齿类动物
edge	n.边缘
edible	adj.可食用的
edifice	n.宏伟的建筑物
educable	adj.可教育的，可培养的
educated	adj.受过教育的，有教养的
education	n.教育，培养
effective	adj.有效的；生效的
effectiveness	n.效力
efficiency	n.效率，功效
efficient	adj.生效的；能干的，有效率的
effluent	n.流出物
eggshell	n.蛋壳
eject	vt.喷出，喷射 vt.逐出，驱逐
elaborate	adj.精细的，精心的；详尽的 vt.详细阐述
elaborately	adv.精细地，详尽地
elasticity	n.弹力，弹性
elbow	n.肘
election	n.选举；当选
electromagnetic	adj.电磁的
electron	n.电子
elegance	n.高雅, 典雅, 优雅, 雅致
elegant	adj.雅致的
element	n.成分；要素
elementary	adj.基本的，初级的
elevate	vt.举起；抬高；使上升
elevation	n.高度，海拔
elevator	n.电梯，起重机；活动谷仓
elicit	vt.得出；引出
eligible	adj.合格的，有资格的
eliminate	vt.排除，剔除
elimination	n.排除，除去
elite	n.精英
elixir	n.长生不老药，万能药
elliptical	adj.椭圆的 adj.省略的
elongate	vt.延长，伸长
eloquent	adj.善于表达的，有口才的；雄辩的
elusive	adj.难懂的，难捉摸的
emancipate	vt.解放，释放
emancipation	n.释放，解放
embarrass	vt.使尴尬，使困窘
embed	vt.插入；镶嵌
embellish	vt.装饰，修饰
embellishment	n.装饰，修饰
emblem	n.象征，标志；徽章
embody	vt.使具体化；包含，收录
emboss	v.加浮雕花纹于，使凸出
embrace	vt.包含 vt.拥抱；欣然接受
embroider	vt.刺绣, 镶边；装饰
embroidery	n.刺绣
embryo	n.胚胎；事物的萌芽期
embryological	adj.胚胎学的
embryonic	adj.胚胎的，萌芽期的
emerge	vi.显现，浮现
emergence	n.浮现，出现
emerging	adj.正在不断出现的
emigrant	n.移居外国者，移民
eminence	n.显赫的声望
eminent	adj.显赫的，杰出的
emission	n.散发；发射
emit	vt.发出，放射
emotion	n.情绪，强烈的情感
emotional	adj.情绪的，情感的
emphasis	n.强调, 重点
emphasize	vt.强调, 着重
employ	vt.用，使用 vt.雇佣
employee	n.雇员
employer	n.雇主，老板
empty	adj.空的；空洞的，空虚的 vt.使成为空，倒空
enactment	n.设定，制定
encase	vt.装入，包住，围
enclose	vt.装入，放入封套；围绕
enclosure	n.围绕；围墙
encompass	vt.包括，包含 vt.环绕，围住
encounter	vt.遭遇，遇到
encourage	vt.鼓励，支持
encroach	vi.侵占，蚕食
encyclopedia	n.百科全书
endanger	vt.危及；危害
endangered	adj.有灭绝危险的，将要绝种的
endeavor	vi.尝试，努力 n.努力，尽力
endless	adj.无止境的
endlessly	adv.不断地，无穷尽地
endotherm	n.温血动物，恒温动物
endotoxin	n.内毒素
endow	vt.捐赠 vt.赋予
endowment	n.禀赋；捐款
endurance	n.忍耐（力），持久（力）
endure	vt.承受，忍受 vt.耐久
enduring	adj.持久的，不朽的
energetic	adj.精力充沛的；积极的
engaging	adj.动人的，迷人的
engrave	vt.雕刻，铭刻
engraving	n.雕刻术, 雕版, 雕版图
enhance	vt.提高，增加
enlightenment	n.启迪，教化
enormous	adj.极大的，庞大的
enrage	vt.激怒
enrich	vt.加料于(食物)；使富足，使肥沃
ensemble	n.全体，整体 n.合唱曲；剧团或文工团
entanglement	n.纠缠，缠绕物 n.累赘；牵连
enterprise	n.事业，企业
enterprising	adj.有进取心的,有事业心的,有魄力的
entertain	vt.娱乐；款待
entertainer	n.演艺人员
entertainment	n.娱乐；款待
enthusiasm	n.热心，热情
enthusiastically	adv.热心地；满腔热情地
entitle	v.取名叫，叫做 v.赋予权力
entitled	adj.有资格的
entity	n.存在物，实体
entrenched	adj.（权利、传统）确立的，牢固的
entrepreneur	n.企业家，创业人
entry	n.进口；入口 n.条目
envelop	v.把…包住，裹住
envision	vt.想象，预想
enzyme	n.酶
ephemeral	adj.短暂的，转瞬即逝的
epic	n.史诗，叙事诗
epidemic	n.传染病，流行病
epidermis	n.表皮
episode	n.一段情节；（音乐）插曲
epoch	n.新纪元，时代
equal	adj.相等的，同样的 vt.等于，比得上
equality	n.同等，平等
equestrian	adj.骑马的, (古罗马)市民特权阶层成员的, 骑士阶层的
equilibrium	n.平衡，均衡
equipment	n.设备
equitable	adj.公平的，公正的
equivalent	n.等同品 adj.相等的，等同的；等值的
eradicate	vt.根除，杜绝
erect	vt.使树立；建立，创立
erode	v.腐蚀，侵蚀
erosion	n.腐蚀，侵蚀
erratic	adj.古怪的，反复无常的
erratically	adv.不规则地
error	vt.做错，出差错
erupt	vi.喷出，爆发
eruption	n.爆发，喷发
escalate	vi.逐步升高, 逐步增强 vt.使逐步上升
escalator	n.电动扶梯
escape	v.逃脱，逃走；避开，避免
escapist	adj./n.逃避现实的（人）
essential	adj.绝对必要的；本质的，根本的
estate	n.财产；不动产
estimate	vt.估计
eternal	adj.永恒的；永远的
ethically	adv.在伦理上，道德上
ethics	n.伦理学；道德规范
ethnic	adj.种族的
etiquette	n.礼仪，礼节
evaluate	vt.评价，估价
evaporate	v.（使）蒸发，消失
evaporation	n.蒸发（作用）
eventful	adj.多事的,充满大事的;意义重大的
eventual	adj.最终的
eventually	adv.终于
evergreen	adj.常绿的 n.常绿树；常绿植物
everlasting	adj.永恒的，持久的，无止境的
evidence	n.证据 vt.证明；表明，显示
evident	adj.明显的
eviscerate	vt.取出内脏；除去主要部分
evoke	vt.引起，激起，唤起
evolution	n.发展，演变
evolutionary	adj.发展的，进化的
evolve	v.进化，发展
exact	adj.精确的，准确地
exacting	adj.苛求的，要求严格的
exaggerate	v.夸大，夸张
exaggeration	n.夸张
exalted	adj.崇高的，高贵的
excavate	vt.挖掘，挖出
excavation	n.挖掘
exceed	vt.超越，胜过
excel	vi.胜过，杰出
excellent	adj.优良的，杰出的
exception	n.例外
exceptional	adj.异常的，杰出的
exceptionally	adv.特殊地；异常地
excess	adj.过度的，额外的 n.过量，超过
excessive	adj.过度的，过分的，过多的
exchange	n./vt.兑换，交换
excite	vt.刺激，使兴奋
excitement	n.激动，兴奋；刺激
exciting	adj.令人兴奋的，刺激的
exclaim	vt.呼喊；惊叫
